component,explained_variance_ratio,cumulative_variance_ratio
PC1,0.36947364460832055,0.36947364460832055
PC2,0.21952997812315944,0.58900362273148
PC3,0.18353580781851464,0.7725394305499946
PC4,0.12459227883853274,0.8971317093885274
PC5,0.10286829061147258,1.0
