,PC1,PC2,PC3,PC4,PC5
altura_hojas_cm,0.5730146715503593,0.2278896459126403,-0.1982452421532788,0.12943608294955114,0.7507766777598455
num_hojas,0.31450060824456316,0.7734978734223055,-0.06967130820270745,0.16219126260686437,-0.521181648153775
diametro_cm,0.46127267503973696,-0.4937009816616499,0.17273323194324441,0.6634920869309818,-0.2709766431455304
longitud_raiz_cm,-0.43865844386359987,0.3255158399082902,0.5854029589755285,0.5178261469756656,0.30129332008359766
peso_fresco_g,0.4093285263583327,-0.008131898431871731,0.7637482170074429,-0.498572589351816,-0.022317345321221926
