,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,num_hojas,num_hojas,num_hojas,num_hojas,num_hojas,num_hojas,diametro_cm,diametro_cm,diametro_cm,diametro_cm,diametro_cm,diametro_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,peso_fresco_g,peso_fresco_g,peso_fresco_g,peso_fresco_g,peso_fresco_g,peso_fresco_g
,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max
cultivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acelga,20,20.705000000000002,3.614659480213141,15.4,20.3,32.4,20,12.05,5.031218331054303,7,11.0,26,20,22.965,7.493806214397819,9.5,24.950000000000003,32.7,20,24.32,4.132490010176737,15.4,24.5,30.5,20,144.77,41.635221678412215,99.0,136.0,262.0
Cebolla china,20,27.72,6.1471944820381275,18.9,28.4,35.1,20,9.0,2.4279079146675357,5,9.0,12,20,3.2305,1.1838495414714258,1.61,3.285,4.71,20,14.41,3.656990422105097,9.5,14.6,19.1,20,60.6,19.820882130244684,33.6,62.0,85.2
Lechuga crespa,20,15.709999999999999,1.5276056256011954,13.0,16.0,18.4,20,23.25,5.1694955470071084,12,25.0,32,20,19.85,2.146110312561825,15.7,19.5,23.6,20,20.905,3.448336746286457,12.5,20.8,30.7,20,241.55,34.25365904388518,187.0,238.0,331.0
Lechuga seda,19,12.563157894736841,1.4595320887629206,9.8,12.5,16.0,19,33.36842105263158,9.142152228464646,22,32.0,56,19,20.3,1.7773263315691046,16.4,20.4,23.3,19,19.557894736842105,4.361105337650292,13.4,18.6,29.7,19,312.42105263157896,61.94739326366963,224.0,325.0,412.0
