component,explained_variance_ratio,cumulative_variance_ratio
PC1,0.9949265815855503,0.9949265815855503
PC2,0.0040970520023256305,0.9990236335878759
PC3,0.0006392703082569892,0.9996629038961329
PC4,0.00027076311248809353,0.999933667008621
PC5,6.633299137907131e-05,1.0
