n,k_groups,ss_between,ss_within,df_between,df_within,ms_between,ms_within,f_value,eta_sq,variable,scope,cultivo
79,4,182.233794470353,1979.7960789473682,3,75,60.74459815678433,26.397281052631577,2.301168746723202,0.08428828699868014,longitud_raiz_cm,global,todos
79,4,251.55283610926062,3374.6993157894735,3,75,83.85094536975355,44.99599087719298,1.863520365594502,0.06936992397992665,altura_hojas_cm,global,todos
79,4,523.1435376415722,9327.286842105263,3,75,174.3811792138574,124.3638245614035,1.402185722647652,0.053108698551607596,num_hojas,global,todos
79,4,172.6384551965358,5921.550213157895,3,75,57.5461517321786,78.95400284210527,0.7288566717416625,0.028328373897087124,diametro_cm,global,todos
79,4,22343.834291805422,822893.4943157895,3,75,7447.944763935141,10971.91325754386,0.678819143854808,0.026434982856961164,peso_fresco_g,global,todos
