scope,cultivo,variable,trat_1,trat_2,trat_1_label,trat_2_label,n_1,n_2,cohens_d,hedges_g,abs_hedges_g
by_crop,Cebolla china,longitud_raiz_cm,T1,T4,INIA,Hidroponika,5,5,12.000349645255815,10.83902548603751,10.83902548603751
by_crop,Cebolla china,longitud_raiz_cm,T2,T4,La Molina,Hidroponika,5,5,12.000349645255815,10.83902548603751,10.83902548603751
by_crop,Cebolla china,longitud_raiz_cm,T1,T3,INIA,FAO,5,5,9.111544067506756,8.229781738393198,8.229781738393198
by_crop,Cebolla china,longitud_raiz_cm,T2,T3,La Molina,FAO,5,5,9.111544067506756,8.229781738393198,8.229781738393198
by_crop,Cebolla china,longitud_raiz_cm,T3,T4,FAO,Hidroponika,5,5,5.519611915930258,4.98545592406604,4.98545592406604
by_crop,Cebolla china,longitud_raiz_cm,T1,T2,INIA,La Molina,5,5,0.0,0.0,0.0
by_crop,Cebolla china,num_hojas,T1,T4,INIA,Hidroponika,5,5,6.713171133426188,6.063509410836557,6.063509410836557
by_crop,Cebolla china,num_hojas,T2,T4,La Molina,Hidroponika,5,5,6.713171133426188,6.063509410836557,6.063509410836557
by_crop,Cebolla china,num_hojas,T1,T3,INIA,FAO,5,5,5.091168824543141,4.5984750673292885,4.5984750673292885
by_crop,Cebolla china,num_hojas,T2,T3,La Molina,FAO,5,5,5.091168824543141,4.5984750673292885,4.5984750673292885
by_crop,Cebolla china,num_hojas,T3,T4,FAO,Hidroponika,5,5,2.5298221281347026,2.2850006318636025,2.2850006318636025
by_crop,Cebolla china,num_hojas,T1,T2,INIA,La Molina,5,5,0.0,0.0,0.0
by_crop,Cebolla china,peso_fresco_g,T1,T4,INIA,Hidroponika,5,5,11.876651279420578,10.727297929799231,10.727297929799231
by_crop,Cebolla china,peso_fresco_g,T2,T4,La Molina,Hidroponika,5,5,11.876651279420578,10.727297929799231,10.727297929799231
by_crop,Cebolla china,peso_fresco_g,T1,T3,INIA,FAO,5,5,8.524113538323563,7.699199324937412,7.699199324937412
by_crop,Cebolla china,peso_fresco_g,T2,T3,La Molina,FAO,5,5,8.524113538323563,7.699199324937412,7.699199324937412
by_crop,Cebolla china,peso_fresco_g,T3,T4,FAO,Hidroponika,5,5,5.137535603416519,4.640354738569759,4.640354738569759
by_crop,Cebolla china,peso_fresco_g,T1,T2,INIA,La Molina,5,5,0.0,0.0,0.0
by_crop,Lechuga crespa,altura_hojas_cm,T1,T2,INIA,La Molina,5,5,-1.7682055504059369,-1.5970888842376203,1.5970888842376203
by_crop,Lechuga crespa,altura_hojas_cm,T1,T4,INIA,Hidroponika,5,5,-1.4589432844964498,-1.3177552247064708,1.3177552247064708
by_crop,Lechuga crespa,altura_hojas_cm,T2,T3,La Molina,FAO,5,5,0.7327298140769805,0.661820477230821,0.661820477230821
by_crop,Lechuga crespa,altura_hojas_cm,T1,T3,INIA,FAO,5,5,-0.6020869628229752,-0.5438204825497841,0.5438204825497841
by_crop,Lechuga crespa,altura_hojas_cm,T3,T4,FAO,Hidroponika,5,5,-0.5525436069347799,-0.49907164497334955,0.49907164497334955
by_crop,Lechuga crespa,altura_hojas_cm,T2,T4,La Molina,Hidroponika,5,5,0.22418654152244513,0.20249106976220851,0.20249106976220851
by_crop,Lechuga crespa,diametro_cm,T2,T4,La Molina,Hidroponika,5,5,-1.789471572631502,-1.6162969043123243,1.6162969043123243
by_crop,Lechuga crespa,diametro_cm,T1,T2,INIA,La Molina,5,5,1.5906451030376916,1.4367117059695278,1.4367117059695278
by_crop,Lechuga crespa,diametro_cm,T3,T4,FAO,Hidroponika,5,5,-0.9537097160161693,-0.8614152273694432,0.8614152273694432
by_crop,Lechuga crespa,diametro_cm,T1,T3,INIA,FAO,5,5,0.6089372911453792,0.5500078758732457,0.5500078758732457
