component,explained_variance_ratio,cumulative_variance_ratio
PC1,0.4619037429019464,0.4619037429019464
PC2,0.24484174579830978,0.7067454887002562
PC3,0.14553139797034365,0.8522768866705999
PC4,0.11083787368765453,0.9631147603582544
PC5,0.03688523964174564,1.0
