,count,mean,std,min,25%,50%,75%,max,cv_pct
altura_hojas_cm,79.0,19.25822784810126,6.818387800926985,9.8,14.0,17.5,21.95,35.1,35.40506351210937
num_hojas,79.0,19.240506329113924,11.237774200041272,5.0,10.0,16.0,26.0,56.0,58.40685275021451
diametro_cm,79.0,16.539367088607595,8.839152897945704,1.61,7.105,19.2,21.9,32.7,53.44311454356775
longitud_raiz_cm,79.0,19.801265822784814,5.264820197355614,9.5,17.15,19.1,23.299999999999997,30.7,26.588301194853507
peso_fresco_g,79.0,188.28354430379747,104.09791548244218,33.6,92.1,189.0,261.0,412.0,55.28784571554437
