component,explained_variance_ratio,cumulative_variance_ratio
PC1,0.46445654014707466,0.46445654014707466
PC2,0.25354832697722823,0.7180048671243029
PC3,0.16679020704559508,0.884795074169898
PC4,0.06940109061622825,0.9541961647861262
PC5,0.04580383521387385,1.0
