n,k_groups,ss_between,ss_within,df_between,df_within,ms_between,ms_within,f_value,eta_sq,variable,scope,cultivo
20,4,832.6375000000003,234.348,3,16,277.5458333333334,14.64675,18.949311849613967,0.780364400453427,diametro_cm,by_crop,Acelga
20,4,41.489500000000085,206.75999999999993,3,16,13.829833333333362,12.922499999999996,1.0702134519894266,0.16712823187962145,altura_hojas_cm,by_crop,Acelga
20,4,4757.014000000001,28179.327999999994,3,16,1585.6713333333337,1761.2079999999996,0.9003316662957095,0.14443055030215565,peso_fresco_g,by_crop,Acelga
20,4,46.149999999999984,434.8,3,16,15.383333333333328,27.175,0.5660840233057343,0.09595592057386419,num_hojas,by_crop,Acelga
20,4,28.235999999999905,296.236,3,16,9.411999999999969,18.51475,0.5083514495199757,0.08702137626667299,longitud_raiz_cm,by_crop,Acelga
20,4,25.924095000000012,0.7043999999999998,3,16,8.641365000000004,0.04402499999999999,196.28313458262366,0.9735471343761636,diametro_cm,by_crop,Cebolla china
20,4,698.9519999999993,19.01999999999999,3,16,232.98399999999978,1.1887499999999993,195.99074658254463,0.9735087162173455,altura_hojas_cm,by_crop,Cebolla china
20,4,247.2660000000001,6.832000000000015,3,16,82.42200000000004,0.42700000000000093,193.02576112412146,0.9731127360309801,longitud_raiz_cm,by_crop,Cebolla china
20,4,7250.9760000000015,213.50400000000008,3,16,2416.9920000000006,13.344000000000005,181.1294964028777,0.971397337791782,peso_fresco_g,by_crop,Cebolla china
20,4,103.19999999999997,8.8,3,16,34.39999999999999,0.55,62.545454545454525,0.9214285714285715,num_hojas,by_crop,Cebolla china
20,4,345.7500000000001,162.0,3,16,115.25000000000004,10.125,11.38271604938272,0.6809453471196456,num_hojas,by_crop,Lechuga crespa
20,4,28.626000000000076,58.884000000000015,3,16,9.542000000000025,3.680250000000001,2.592758644113857,0.327116900925609,diametro_cm,by_crop,Lechuga crespa
20,4,13.674000000000007,30.663999999999994,3,16,4.5580000000000025,1.9164999999999996,2.378293764675191,0.3084036266859129,altura_hojas_cm,by_crop,Lechuga crespa
20,4,2714.9500000000035,19578.0,3,16,904.9833333333345,1223.625,0.7395920591139724,0.12178513835091376,peso_fresco_g,by_crop,Lechuga crespa
20,4,5.33349999999998,220.59599999999998,3,16,1.7778333333333267,13.787249999999998,0.1289476388208908,0.023606921628206948,longitud_raiz_cm,by_crop,Lechuga crespa
19,4,59709.83157894737,9364.800000000001,3,15,19903.277192982456,624.32,31.879928871383992,0.8644249012128757,peso_fresco_g,by_crop,Lechuga seda
19,4,1171.221052631579,333.19999999999993,3,15,390.40701754385964,22.213333333333328,17.575345927844825,0.7785194514413659,num_hojas,by_crop,Lechuga seda
19,4,39.09200000000006,17.768000000000008,3,15,13.030666666666688,1.1845333333333339,11.000675371454314,0.6875131902919454,diametro_cm,by_crop,Lechuga seda
19,4,11.242210526315805,27.101999999999997,3,15,3.747403508771935,1.8067999999999997,2.0740555173632584,0.2931918631784119,altura_hojas_cm,by_crop,Lechuga seda
19,4,89.16231578947355,253.18399999999997,3,15,29.72077192982452,16.878933333333332,1.7608205058272552,0.26044479428341233,longitud_raiz_cm,by_crop,Lechuga seda
