,,,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,num_hojas,num_hojas,num_hojas,num_hojas,num_hojas,num_hojas,diametro_cm,diametro_cm,diametro_cm,diametro_cm,diametro_cm,diametro_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,peso_fresco_g,peso_fresco_g,peso_fresco_g,peso_fresco_g,peso_fresco_g,peso_fresco_g
,,,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max
cod_tratamiento,tratamiento,cultivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3,HIDROPONIKA,Cebolla china,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T3,HIDROPONIKA,Lechuga crespa,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T3,HIDROPONIKA,Lechuga seda,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T3,INIA SUMAC-YUYAYQUI,Acelga,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T3,INIA SUMAC-YUYAYQUI,Cebolla china,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T3,INIA SUMAC-YUYAYQUI,Lechuga crespa,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T3,INIA SUMAC-YUYAYQUI,Lechuga seda,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T3,LA MOLINA,Acelga,5,21.68,1.6300306745579975,20.0,21.2,24.3,5,11.8,8.105553651663778,7.0,8.0,26.0,5,28.860000000000003,2.449081460466351,25.6,28.4,32.4,5,23.52,5.603748745259731,18.3,22.1,30.1,5,137.2,24.570307283385773,112.0,134.0,171.0
T3,LA MOLINA,Cebolla china,5,23.98,0.8497058314499195,22.8,24.2,25.0,5,7.6,0.5477225575051662,7.0,8.0,8.0,5,2.404,0.14638989036132252,2.19,2.46,2.54,5,11.92,0.34205262752974125,11.4,12.0,12.3,5,47.760000000000005,2.355419283269968,44.8,48.2,50.6
T3,LA MOLINA,Lechuga crespa,5,15.48,1.9057806799314547,13.6,15.4,18.4,5,23.6,3.5071355833500366,18.0,24.0,27.0,5,19.2,2.409356760631352,15.7,19.6,21.6,5,21.139999999999997,6.630460014207158,12.5,20.4,30.7,5,226.2,16.053037095827072,205.0,235.0,240.0
