component,explained_variance_ratio,cumulative_variance_ratio
PC1,0.5915574148520202,0.5915574148520202
PC2,0.2231359329330702,0.8146933477850904
PC3,0.08940108826120464,0.904094436046295
PC4,0.05606923004895521,0.9601636660952503
PC5,0.03983633390474976,1.0
