cod_tratamiento,tratamiento,cultivo,PC1,PC2,group_label
T3,LA MOLINA,Cebolla china,-2.6700595706559027,-0.889479286047199,FAO - Cebolla china
T3,LA MOLINA,Cebolla china,-2.7124559699342843,-0.9672177558702938,FAO - Cebolla china
T3,LA MOLINA,Cebolla china,-2.726192628456166,-0.8848182238239632,FAO - Cebolla china
T3,LA MOLINA,Cebolla china,-2.699996548116281,-1.063970611505137,FAO - Cebolla china
T3,LA MOLINA,Cebolla china,-2.6937195727273138,-0.9236817808942898,FAO - Cebolla china
T4,HIDROPONIKA,Lechuga crespa,0.6695778460291241,0.0485529864328862,Hidroponika - Lechuga crespa
T4,HIDROPONIKA,Lechuga crespa,1.2072119109284394,0.06413410189814575,Hidroponika - Lechuga crespa
T4,HIDROPONIKA,Lechuga crespa,0.578193938553011,-0.6507036515509881,Hidroponika - Lechuga crespa
T4,HIDROPONIKA,Lechuga crespa,1.3301608020537197,-0.3840411947137864,Hidroponika - Lechuga crespa
T4,HIDROPONIKA,Lechuga crespa,1.6859622058833208,-0.03485629367656397,Hidroponika - Lechuga crespa
T4,HIDROPONIKA,Lechuga seda,1.7086182372400553,-1.1846649611347442,Hidroponika - Lechuga seda
T4,HIDROPONIKA,Lechuga seda,1.8524922195776339,-1.8563058436679312,Hidroponika - Lechuga seda
T4,HIDROPONIKA,Lechuga seda,1.5874963891682274,-1.9111583887138281,Hidroponika - Lechuga seda
T4,HIDROPONIKA,Lechuga seda,2.4205444421191986,-1.8928859267887082,Hidroponika - Lechuga seda
T4,HIDROPONIKA,Lechuga seda,1.9061397723430502,-1.2725010668288979,Hidroponika - Lechuga seda
T4,HIDROPONIKA,Acelga,0.7014344900731245,1.3967289456828815,Hidroponika - Acelga
T4,HIDROPONIKA,Acelga,0.09695768200384257,1.3390302173333941,Hidroponika - Acelga
T4,HIDROPONIKA,Acelga,0.3216512694568993,1.1929294154676622,Hidroponika - Acelga
T4,HIDROPONIKA,Acelga,-0.3238962631196767,1.5372928275524562,Hidroponika - Acelga
T4,HIDROPONIKA,Acelga,-0.686611887127651,-0.02317200083005786,Hidroponika - Acelga
T4,HIDROPONIKA,Cebolla china,-2.6781579907812603,-1.2998534102228942,Hidroponika - Cebolla china
T4,HIDROPONIKA,Cebolla china,-2.6865751192308696,-1.4264034354978667,Hidroponika - Cebolla china
T4,HIDROPONIKA,Cebolla china,-2.6973055671795843,-1.329283756492589,Hidroponika - Cebolla china
T4,HIDROPONIKA,Cebolla china,-2.709590927105522,-1.4734593509106308,Hidroponika - Cebolla china
T4,HIDROPONIKA,Cebolla china,-2.6778824875571297,-1.3560303613097766,Hidroponika - Cebolla china
